question_uid,parliament,session,question_number,question_sitting_day,question_date,question_title,asker_name,asker_riding,number_of_responses
40-2-323,40,2,323,72,2009-06-09,Atomic Energy of Canada Limited,Mrs. Hughes,Algoma—Manitoulin—Kapuskasing,1
40-2-324,40,2,324,73,2009-06-10,Passenger rail in Northern Ontario,Mr. Hyer,Thunder Bay—Superior North,1
40-2-325,40,2,325,73,2009-06-10,Forestry sector,Mr. Hyer,Thunder Bay—Superior North,1
40-2-326,40,2,326,73,2009-06-10,Department of Fisheries and Oceans,Mr. LeBlanc,Beauséjour,1
40-2-327,40,2,327,73,2009-06-10,Dorchester Penitentiary,Mr. LeBlanc,Beauséjour,1
40-2-328,40,2,328,73,2009-06-10,Small craft harbours,Mr. LeBlanc,Beauséjour,1
40-2-329,40,2,329,73,2009-06-10,Health Canada and the Canadian Apheresis Group,Ms. Bennett,St. Paul's,1
40-2-330,40,2,330,74,2009-06-11,Environment Canada,Mr. Murphy,Charlottetown,1
40-2-331,40,2,331,74,2009-06-11,Genocide,Ms. Duncan,Etobicoke North,1
40-2-332,40,2,332,74,2009-06-11,Sri Lanka,Ms. Duncan,Etobicoke North,1
40-2-333,40,2,333,74,2009-06-11,Department of Citizenship and Immigration,Mr. Malhi,Bramalea—Gore—Malton,1
40-2-334,40,2,334,74,2009-06-11,Department of Citizenship and Immigration,Mr. Malhi,Bramalea—Gore—Malton,1
40-2-335,40,2,335,74,2009-06-11,Temporary residence visas,Mr. Malhi,Bramalea—Gore—Malton,1
40-2-336,40,2,336,74,2009-06-11,Industry Canada,Mr. Malhi,Bramalea—Gore—Malton,1
40-2-337,40,2,337,75,2009-06-12,Autism spectrum disorder,Mr. Murphy,Charlottetown,1
40-2-338,40,2,338,76,2009-06-15,Canadian International Development Agency,Mr. Pearson,London North Centre,1
40-2-339,40,2,339,76,2009-06-15,Canadian International Development Agency,Mr. Pearson,London North Centre,1
40-2-340,40,2,340,76,2009-06-15,Canadian International Development Agency,Mr. Pearson,London North Centre,1
40-2-341,40,2,341,76,2009-06-15,Canadian International Development Agency,Mr. Pearson,London North Centre,1
40-2-342,40,2,342,77,2009-06-16,Passport offices,Mrs. Mendes,Brossard—La Prairie,1
40-2-343,40,2,343,77,2009-06-16,Lise Thibault,Ms. Gagnon,Québec,1
40-2-344,40,2,344,77,2009-06-16,Trusts,Mr. Mulcair,Outremont,1
40-2-345,40,2,345,77,2009-06-16,National Capital Region,Mr. Dewar,Ottawa Centre,1
40-2-346,40,2,346,77,2009-06-16,Department of Canadian Heritage,Ms. Dhalla,Brampton—Springdale,1
40-2-347,40,2,347,77,2009-06-16,Brampton-Springdale,Ms. Dhalla,Brampton—Springdale,1
40-2-348,40,2,348,77,2009-06-16,Government advertising,Ms. Dhalla,Brampton—Springdale,1
40-2-349,40,2,349,77,2009-06-16,Department of Human Ressources and Skills Developmen,Ms. Dhalla,Brampton—Springdale,1
40-2-350,40,2,350,77,2009-06-16,Natural Health Products Directorate,Ms. Bennett,St. Paul's,1
40-2-351,40,2,351,77,2009-06-16,Abousfian Abdelrazik,Ms. Leslie,Halifax,1
40-2-352,40,2,352,77,2009-06-16,Home Income Tax Credit,Mr. McTeague,Pickering—Scarborough East,1
40-2-353,40,2,353,77,2009-06-16,Canadian Institutes of Health Research,Mr. Szabo,Mississauga South,1
40-2-354,40,2,354,77,2009-06-16,Assisted Human Reproduction Act,Mr. Szabo,Mississauga South,1
40-2-355,40,2,355,77,2009-06-16,June 2009 Report on the Economic Action Plan,Mr. Szabo,Mississauga South,1
40-2-356,40,2,356,77,2009-06-16,Infrastructure Funding,Mr. Szabo,Mississauga South,1
40-2-357,40,2,357,77,2009-06-16,Temporary resident visa applications,Ms. Chow,Trinity—Spadina,1
40-2-358,40,2,358,77,2009-06-16,Infrastructure funds,Ms. Chow,Trinity—Spadina,1
40-2-359,40,2,359,78,2009-06-17,Central Financial Management Reporting System,Ms. Hall Findlay,Willowdale,1
40-2-360,40,2,360,78,2009-06-17,Interest on advance deposits from corporate taxpayers,Mrs. Hughes,Algoma—Manitoulin—Kapuskasing,1
40-2-361,40,2,361,78,2009-06-17,Government advertising campaigns,Mr. Julian,Burnaby—New Westminster,1
40-2-362,40,2,362,78,2009-06-17,Loans and loan guarantees,Mr. Julian,Burnaby—New Westminster,1
40-2-363,40,2,363,78,2009-06-17,Genocide,Mr. Cotler,Mount Royal,1
40-2-364,40,2,364,78,2009-06-17,Joint Supply Ship program,Mr. Atamanenko,British Columbia Southern Interior,1
40-2-365,40,2,365,78,2009-06-17,National Defence Public Affairs,Mr. Atamanenko,British Columbia Southern Interior,1
40-2-366,40,2,366,78,2009-06-17,Joint Strike Fighter program,Mr. Atamanenko,British Columbia Southern Interior,1
40-2-367,40,2,367,78,2009-06-17,Omar Khadr,Ms. Savoie,Victoria,1
40-2-368,40,2,368,78,2009-06-17,Ronald Smith,Ms. Savoie,Victoria,1
40-2-369,40,2,369,78,2009-06-17,Akwesasne Mohawk border dispute,Mr. Oliphant,Don Valley West,1
40-2-370,40,2,370,78,2009-06-17,Omar Khadr,Mr. Rae,Toronto Centre,1
40-2-371,40,2,371,78,2009-06-17,Foreign offices,Mr. Rae,Toronto Centre,1
40-2-372,40,2,372,78,2009-06-17,Abousfian Abdelrazik,Mr. Rae,Toronto Centre,1
40-2-373,40,2,373,78,2009-06-17,Pakistan,Mr. Rae,Toronto Centre,1
40-2-374,40,2,374,78,2009-06-17,Canadian Wind Energy Association,Ms. Davies,Vancouver East,1
40-2-375,40,2,375,78,2009-06-17,Correctional Services Canada,Mr. Easter,Malpeque,1
40-2-376,40,2,376,78,2009-06-17,Prince Edward Island potato producers,Mr. Easter,Malpeque,1
40-2-377,40,2,377,78,2009-06-17,Atlantic Beef Plant,Mr. Easter,Malpeque,1
40-2-378,40,2,378,78,2009-06-17,Atlantic Canada Fishery,Mr. Cuzner,Cape Breton—Canso,1
40-2-379,40,2,379,78,2009-06-17,Small Craft Harbours programs,Ms. Foote,Random—Burin—St. George's,1
40-2-380,40,2,380,78,2009-06-17,Infrastructure in Labrador,Mr. Russell,Labrador,1
40-2-381,40,2,381,78,2009-06-17,Department of Indian and Northern Affairs,Mr. Russell,Labrador,1
40-2-382,40,2,382,78,2009-06-17,Synthetic insulins,Mr. McKay,Scarborough—Guildwood,1
40-2-383,40,2,383,78,2009-06-17,Implementation of the Development Assistance Accountability Act,Mr. McKay,Scarborough—Guildwood,1
40-2-384,40,2,384,78,2009-06-17,Language instruction for newcomers,Mr. McKay,Scarborough—Guildwood,1
40-2-385,40,2,385,78,2009-06-17,Deficit,Mr. McKay,Scarborough—Guildwood,1
40-2-386,40,2,386,78,2009-06-17,Short-line rail in Manitoba,Ms. Neville,Winnipeg South Centre,1
40-2-387,40,2,387,78,2009-06-17,Government advertising,Mr. Brison,Kings—Hants,1
40-2-388,40,2,388,78,2009-06-17,2007-2008 Departmental Performance Report,Mr. Brison,Kings—Hants,1
40-2-389,40,2,389,78,2009-06-17,Report on Plans and Priorities for the Department of Foreign Affairs and International Trade,Mr. Brison,Kings—Hants,1
40-2-390,40,2,390,78,2009-06-17,Transport Canada's Ecomobility program,Mr. Bains,Mississauga—Brampton South,1
40-2-391,40,2,391,78,2009-06-17,Government spending within the constituency of Mississauga—Brampton South,Mr. Bains,Mississauga—Brampton South,1
40-2-392,40,2,392,78,2009-06-17,Government spending on communications,Mr. Bains,Mississauga—Brampton South,1
40-2-393,40,2,393,78,2009-06-17,Citizenship applications,Mr. Bains,Mississauga—Brampton South,1
40-2-394,40,2,394,78,2009-06-17,Government spending in 2009,Mrs. Jennings,Notre-Dame-de-Grâce—Lachine,1
40-2-395,40,2,395,78,2009-06-17,Government advertising,Ms. Coady,St. John's South—Mount Pearl,1
40-2-396,40,2,396,78,2009-06-17,Economic Action Plan,Mr. Kennedy,Parkdale—High Park,1
40-2-397,40,2,397,78,2009-06-17,Knowledge Infrastructure programs,Mr. Kennedy,Parkdale—High Park,1
40-2-398,40,2,398,78,2009-06-17,Infrastructure programs,Mr. Kennedy,Parkdale—High Park,1
40-2-399,40,2,399,78,2009-06-17,Infrastructure programs,Mr. Kennedy,Parkdale—High Park,1
40-2-400,40,2,400,79,2009-06-18,Venue or property rental,Ms. Charlton,Hamilton Mountain,1
40-2-401,40,2,401,79,2009-06-18,Export Development Canada,Mrs. Hughes,Algoma—Manitoulin—Kapuskasing,1
40-2-402,40,2,402,79,2009-06-18,Government spending within the constituency of Brampton West,Mr. Kania,Brampton West,1
40-2-403,40,2,403,79,2009-06-18,Federal infrastructure spending in the constituency of Brampton West,Mr. Kania,Brampton West,1
40-2-404,40,2,404,79,2009-06-18,Employment Insurance claims by residents of the constituency of Brampton West,Mr. Kania,Brampton West,1
40-2-405,40,2,405,79,2009-06-18,Applications to sponsor family members for visitor’s visas and permanent residency,Mr. Kania,Brampton West,1
40-2-406,40,2,406,79,2009-06-18,Federal employees,Mr. Gravelle,Nickel Belt,1
40-2-407,40,2,407,79,2009-06-18,Saint-Hubert Airport,Mrs. Lavallée,Saint-Bruno—Saint-Hubert,1
40-2-408,40,2,408,79,2009-06-18,Canadian Human Rights Commission and the Canadian Human Rights Tribunal,Mr. Hiebert,South Surrey—White Rock—Cloverdale,1
40-2-409,40,2,409,79,2009-06-18,Canadian International Development Agency,Ms. Folco,Laval—Les Îles,1
40-2-410,40,2,410,79,2009-06-18,Canadian International Development Agency,Ms. Folco,Laval—Les Îles,1
40-2-411,40,2,411,79,2009-06-18,Aid to Africa,Ms. Folco,Laval—Les Îles,1
40-2-412,40,2,412,79,2009-06-18,Aid to Africa,Ms. Folco,Laval—Les Îles,1
40-2-413,40,2,413,79,2009-06-18,Knowledge Infrastructure Program,Mr. Gravelle,Nickel Belt,1
40-2-414,40,2,414,80,2009-09-10,HMCS Chicoutimi,Mr. Stoffer,Sackville—Eastern Shore,1
40-2-415,40,2,415,80,2009-09-10,Supply chain process for the Canadian Forces,Mr. Stoffer,Sackville—Eastern Shore,1
40-2-416,40,2,416,80,2009-09-10,Government spending within the constituency of Ottawa South,Mr. McGuinty,Ottawa South,1
40-2-417,40,2,417,80,2009-09-10,Isotope crisis,Mr. McGuinty,Ottawa South,1
40-2-418,40,2,418,84,2009-09-17,Permanent residency wait times,Mrs. Mendes,Brossard—La Prairie,1
40-2-419,40,2,419,84,2009-09-17,Refugee claims and immigration appeals,Mrs. Mendes,Brossard—La Prairie,1
40-2-420,40,2,420,84,2009-09-17,"Attendance to events by the Minister of Citizenship, Immigration and Multiculturalism",Ms. Dhalla,Brampton—Springdale,1
40-2-421,40,2,421,84,2009-09-17,Contracts granted by the Department of Citizenship and Immigration,Ms. Dhalla,Brampton—Springdale,1
40-2-422,40,2,422,84,2009-09-17,Communities at Risk,Ms. Dhalla,Brampton—Springdale,1
40-2-423,40,2,423,84,2009-09-17,"Ministerial Permits granted by the Minister of Citizenship, Immigration and Multiculturalism",Ms. Dhalla,Brampton—Springdale,1
40-2-424,40,2,424,85,2009-09-24,Pandemic influenza,Ms. Duncan,Etobicoke North,1
40-2-425,40,2,425,85,2009-09-24,Pandemic influenza,Ms. Duncan,Etobicoke North,1
40-2-426,40,2,426,85,2009-09-24,Harmonized Sales Tax for Manitoba,Mr. Maloway,Elmwood—Transcona,1
40-2-427,40,2,427,85,2009-09-24,Marc Emery,Ms. Davies,Vancouver East,1
40-2-428,40,2,428,85,2009-09-24,Employment Insurance applications,Ms. Davies,Vancouver East,1
40-2-429,40,2,429,85,2009-09-24,Canada’s oil industry,Mr. McGuinty,Ottawa South,1
40-2-430,40,2,430,85,2009-09-24,Properties of interest in the National Capital Region,Mr. McGuinty,Ottawa South,1
40-2-431,40,2,431,85,2009-09-24,Use of government owned aircraft,Mr. McTeague,Pickering—Scarborough East,1
40-2-432,40,2,432,86,2009-09-28,Economic Action Plan,Mr. McTeague,Pickering—Scarborough East,1
40-2-433,40,2,433,86,2009-09-28,Omar Khadr and Abousfian Abdelrazik,Mr. McTeague,Pickering—Scarborough East,2
40-2-434,40,2,434,86,2009-09-28,Revenue from offshore oil production,Mr. Andrews,Avalon,1
40-2-435,40,2,435,86,2009-09-28,Northwest Atlantic Fisheries Organization,Mr. Andrews,Avalon,1
40-2-436,40,2,436,86,2009-09-28,Government funding within the constituency of Avalon,Mr. Andrews,Avalon,1
40-2-437,40,2,437,86,2009-09-28,Mirabel International Airport,Mrs. Jennings,Notre-Dame-de-Grâce—Lachine,1
40-2-438,40,2,438,86,2009-09-28,Airport noise abatement and control,Mrs. Jennings,Notre-Dame-de-Grâce—Lachine,1
40-2-439,40,2,439,86,2009-09-28,"Bill C-50, An Act to amend the Employment Insurance Act and to increase benefits",Mrs. Jennings,Notre-Dame-de-Grâce—Lachine,1
40-2-440,40,2,440,86,2009-09-28,Department of Foreign Affairs and International Trade,Mrs. Jennings,Notre-Dame-de-Grâce—Lachine,1
40-2-441,40,2,441,87,2009-09-29,Housing promises,Mrs. Simson,Scarborough Southwest,1
40-2-442,40,2,442,87,2009-09-29,Spending on advertising,Mrs. Simson,Scarborough Southwest,1
40-2-443,40,2,443,87,2009-09-29,Taxis,Mrs. Simson,Scarborough Southwest,1
40-2-444,40,2,444,87,2009-09-29,Emergency preparedness,Mrs. Simson,Scarborough Southwest,1
40-2-445,40,2,445,87,2009-09-29,National Research Universal reactor license expirations,Ms. Bennett,St. Paul's,1
40-2-446,40,2,446,89,2009-10-01,Pandemic influenza,Ms. Duncan,Etobicoke North,1
40-2-447,40,2,447,90,2009-10-02,Economic Action Plan,Mr. Oliphant,Don Valley West,1
40-2-448,40,2,448,90,2009-10-02,Akwesasne Mohawk border dispute,Mr. Oliphant,Don Valley West,1
40-2-449,40,2,449,91,2009-10-05,Harmonized sales tax in British Columbia,Ms. Davies,Vancouver East,1
40-2-450,40,2,450,91,2009-10-05,Official Languages Champions,Mr. Bélanger,Ottawa—Vanier,1
40-2-451,40,2,451,91,2009-10-05,Language training,Mr. Bélanger,Ottawa—Vanier,1
40-2-452,40,2,452,91,2009-10-05,Myalgic Encephalomyelitis and Chronic Fatigue Syndrome,Mr. Oliphant,Don Valley West,1
40-2-453,40,2,453,91,2009-10-05,Constituency of Parry Sound—Muskoka,Mr. Gravelle,Nickel Belt,1
40-2-454,40,2,454,93,2009-10-07,Action Plan of Status of Women Canada,Ms. Neville,Winnipeg South Centre,1
40-2-455,40,2,455,93,2009-10-07,Partnership Program of Status of Women Canada,Ms. Neville,Winnipeg South Centre,1
40-2-456,40,2,456,93,2009-10-07,Pandemic Influenza,Ms. Duncan,Etobicoke North,1
40-2-457,40,2,457,93,2009-10-07,AquaNor conference,Mr. Cullen,Skeena—Bulkley Valley,1
40-2-458,40,2,458,93,2009-10-07,Aboriginal affairs,Mr. Russell,Labrador,1
40-2-459,40,2,459,93,2009-10-07,Mealy Mountains National Park,Mr. Russell,Labrador,1
40-2-460,40,2,460,93,2009-10-07,Canada's First Defence Strategy,Mr. Russell,Labrador,1
40-2-461,40,2,461,93,2009-10-07,Home Renovation Tax Credit,Mr. Russell,Labrador,1
40-2-462,40,2,462,94,2009-10-08,Arts Presentation Canada,Ms. Leslie,Halifax,1
40-2-463,40,2,463,94,2009-10-08,Properties of interest in the National Capital Region,Mr. McGuinty,Ottawa South,1
40-2-464,40,2,464,95,2009-10-15,Advisory Committee on Health Delivery and Human Resources,Ms. Bennett,St. Paul's,1
40-2-465,40,2,465,95,2009-10-15,Seniors' pensions and benefits,Mr. Murphy,Moncton—Riverview—Dieppe,1
40-2-466,40,2,466,96,2009-10-19,Flathead River region,Mr. Julian,Burnaby—New Westminster,1
40-2-467,40,2,467,97,2009-10-20,Government jobs,Mr. Proulx,Hull—Aylmer,1
40-2-468,40,2,468,97,2009-10-20,Projects in the constituency of Pontiac,Mr. Proulx,Hull—Aylmer,1
40-2-469,40,2,469,97,2009-10-20,Projects in the constituency of Hull—Aylmer,Mr. Proulx,Hull—Aylmer,1
40-2-470,40,2,470,97,2009-10-20,Projects in the constituency of Gatineau,Mr. Proulx,Hull—Aylmer,1
40-2-471,40,2,471,97,2009-10-20,Afghan detainees,Mr. Dosanjh,Vancouver South,1
40-2-472,40,2,472,97,2009-10-20,Section 38 of the Evidence Act,Mr. Dosanjh,Vancouver South,1
40-2-473,40,2,473,97,2009-10-20,Abused Afghan children,Mr. Dosanjh,Vancouver South,1
40-2-474,40,2,474,97,2009-10-20,Mission in Afghanistan,Mr. Dosanjh,Vancouver South,1
40-2-475,40,2,475,97,2009-10-20,Department of Finance contracts,Mr. McCallum,Markham—Unionville,1
40-2-476,40,2,476,97,2009-10-20,National Capital Commission,Mr. McCallum,Markham—Unionville,1
40-2-477,40,2,477,97,2009-10-20,Treasury Board’s policies and guidelines for ministers’ offices,Mr. McCallum,Markham—Unionville,1
40-2-478,40,2,478,97,2009-10-20,Prosecution of war criminals,Mr. Cotler,Mount Royal,1
40-2-479,40,2,479,97,2009-10-20,Iran,Mr. Cotler,Mount Royal,1
40-2-480,40,2,480,97,2009-10-20,Human rights,Mr. Cotler,Mount Royal,1
40-2-481,40,2,481,97,2009-10-20,Ministers office expenses within the National Capital Region,Ms. Ratansi,Don Valley East,1
40-2-482,40,2,482,97,2009-10-20,Government spending in the constituency of Don Valley East,Ms. Ratansi,Don Valley East,1
40-2-483,40,2,483,97,2009-10-20,Employment Insurance claims in the constituency of Don Valley East,Ms. Ratansi,Don Valley East,1
40-2-484,40,2,484,97,2009-10-20,Kapyong Barracks,Ms. Neville,Winnipeg South Centre,1
40-2-485,40,2,485,97,2009-10-20,Government advertising,Ms. Coady,St. John's South—Mount Pearl,1
40-2-486,40,2,486,97,2009-10-20,Treasury Board contracts,Ms. Coady,St. John's South—Mount Pearl,1
40-2-487,40,2,487,97,2009-10-20,Canada Health Infoway Contracts,Ms. Coady,St. John's South—Mount Pearl,1
40-2-488,40,2,488,97,2009-10-20,Government advertising,Mr. Bagnell,Yukon,1
40-2-489,40,2,489,97,2009-10-20,Cabinet,Mr. Bagnell,Yukon,1
40-2-490,40,2,490,97,2009-10-20,Government advertising,Mr. Brison,Kings—Hants,1
40-2-491,40,2,491,97,2009-10-20,Government advertising,Mr. Brison,Kings—Hants,1
40-2-492,40,2,492,97,2009-10-20,Government advertising,Mr. Brison,Kings—Hants,1
40-2-493,40,2,493,97,2009-10-20,Government advertising,Mr. Brison,Kings—Hants,1
40-2-494,40,2,494,97,2009-10-20,Government advertising,Mr. Cuzner,Cape Breton—Canso,1
40-2-495,40,2,495,97,2009-10-20,Government advertising,Mr. Cuzner,Cape Breton—Canso,1
40-2-496,40,2,496,97,2009-10-20,Government advertising,Mr. Cuzner,Cape Breton—Canso,1
40-2-497,40,2,497,97,2009-10-20,Government advertising,Mr. Cuzner,Cape Breton—Canso,1
40-2-498,40,2,498,97,2009-10-20,Small Business programs,Mr. Bains,Mississauga—Brampton South,1
40-2-499,40,2,499,97,2009-10-20,Industry Canada contracts,Mr. Bains,Mississauga—Brampton South,1
40-2-500,40,2,500,97,2009-10-20,Tourism initiatives,Mr. Bains,Mississauga—Brampton South,1
40-2-501,40,2,501,97,2009-10-20,Relationship between the Cabinet and the Crown,Mr. Bains,Mississauga—Brampton South,1
40-2-502,40,2,502,98,2009-10-21,Suaad Hagi Mohamud,Mr. Volpe,Eglinton—Lawrence,1
40-2-503,40,2,503,98,2009-10-21,Government spending in the constituency of Eglinton—Lawrence,Mr. Volpe,Eglinton—Lawrence,1
40-2-504,40,2,504,98,2009-10-21,Economic Action Plan,Mr. Volpe,Eglinton—Lawrence,1
40-2-505,40,2,505,98,2009-10-21,Temporary Resident Permits,Mr. Volpe,Eglinton—Lawrence,1
40-2-506,40,2,506,98,2009-10-21,Fair Wages and Hours of Labour Act,Ms. Minna,Beaches—East York,1
40-2-507,40,2,507,98,2009-10-21,Nunn Commission of Inquiry,Ms. Leslie,Halifax,1
40-2-508,40,2,508,98,2009-10-21,Government advertising,Mr. Savage,Dartmouth—Cole Harbour,1
40-2-509,40,2,509,98,2009-10-21,Government advertising,Mr. Savage,Dartmouth—Cole Harbour,1
40-2-510,40,2,510,98,2009-10-21,Department of Human Resources and Skills Development contracts,Mr. Savage,Dartmouth—Cole Harbour,1
40-2-511,40,2,511,98,2009-10-21,Government advertising,Mr. Regan,Halifax West,1
40-2-512,40,2,512,98,2009-10-21,Government advertising,Mr. Regan,Halifax West,1
40-2-513,40,2,513,98,2009-10-21,Natural Resources Canada travel and hospitality claims,Mr. Regan,Halifax West,1
40-2-514,40,2,514,98,2009-10-21,Economic Action Plan,Mr. Regan,Halifax West,1
40-2-515,40,2,515,98,2009-10-21,Federal Economic Development Agency for Southern Ontario,Mr. Valeriote,Guelph,1
40-2-516,40,2,516,98,2009-10-21,Federal Economic Development Agency for Southern Ontario,Mr. Valeriote,Guelph,1
40-2-517,40,2,517,98,2009-10-21,Federal Economic Development Agency for Southern Ontario,Mr. Valeriote,Guelph,1
40-2-518,40,2,518,98,2009-10-21,Federal Economic Development Agency for Southern Ontario,Mr. Valeriote,Guelph,1
40-2-519,40,2,519,98,2009-10-21,Government advertising,Mrs. Mendes,Brossard—La Prairie,1
40-2-520,40,2,520,98,2009-10-21,Government advertising,Mrs. Mendes,Brossard—La Prairie,1
40-2-521,40,2,521,97,2009-10-21,Economic Action Plan,Mr. McTeague,Pickering—Scarborough East,1
40-2-522,40,2,522,98,2009-10-21,Government advertising,Mr. Murphy,Charlottetown,1
40-2-523,40,2,523,98,2009-10-21,Government advertising,Mr. Murphy,Charlottetown,1
40-2-524,40,2,524,98,2009-10-21,Government advertising,Mr. Murphy,Charlottetown,1
40-2-525,40,2,525,98,2009-10-21,Government advertising,Mr. Murphy,Charlottetown,1
40-2-526,40,2,526,98,2009-10-21,Vancouver Olympic and Paralympic Games,Ms. Murray,Vancouver Quadra,1
40-2-527,40,2,527,98,2009-10-21,Sockeye salmon crisis,Ms. Murray,Vancouver Quadra,1
40-2-528,40,2,528,98,2009-10-21,United Nations Climate Change Conference,Ms. Murray,Vancouver Quadra,1
40-2-529,40,2,529,99,2009-10-22,Canada Mortgage and Housing Corporation securities purchase,Mr. Savage,Dartmouth—Cole Harbour,1
40-2-530,40,2,530,99,2009-10-22,Government advertising,Ms. Sgro,York West,1
40-2-531,40,2,531,99,2009-10-22,Government advertising,Ms. Sgro,York West,1
40-2-532,40,2,532,99,2009-10-22,Government advertising,Ms. Sgro,York West,1
40-2-533,40,2,533,99,2009-10-22,Government advertising,Mr. Martin,Esquimalt—Juan de Fuca,1
40-2-534,40,2,534,99,2009-10-22,Government advertising,Mr. Martin,Esquimalt—Juan de Fuca,1
40-2-535,40,2,535,99,2009-10-22,Northern Residents Tax Deduction Program,Mr. Bagnell,Yukon,1
40-2-536,40,2,536,99,2009-10-22,Government advertising,Mr. LeBlanc,Beauséjour,1
40-2-537,40,2,537,99,2009-10-22,Government advertising,Mr. LeBlanc,Beauséjour,1
40-2-538,40,2,538,99,2009-10-22,National Research Council funds,Mr. Bagnell,Yukon,1
40-2-539,40,2,539,99,2009-10-22,Government advertising,Mrs. Crombie,Mississauga—Streetsville,1
40-2-540,40,2,540,99,2009-10-22,Government advertising,Mrs. Crombie,Mississauga—Streetsville,1
40-2-541,40,2,541,99,2009-10-22,Government advertising,Mrs. Crombie,Mississauga—Streetsville,1
40-2-542,40,2,542,99,2009-10-22,Government advertising,Mrs. Crombie,Mississauga—Streetsville,1
40-2-543,40,2,543,99,2009-10-22,Government advertising,Mr. Silva,Davenport,1
40-2-544,40,2,544,99,2009-10-22,Government advertising,Mr. Silva,Davenport,1
40-2-545,40,2,545,99,2009-10-22,Government advertising,Mr. Silva,Davenport,1
40-2-546,40,2,546,99,2009-10-22,Government advertising,Mr. Silva,Davenport,1
40-2-547,40,2,547,99,2009-10-22,Secure Channel,Ms. Coady,St. John's South—Mount Pearl,1
40-2-548,40,2,548,100,2009-10-23,Department of Foreign Affairs and International Trade,Mr. Rae,Toronto Centre,1
40-2-549,40,2,549,100,2009-10-23,Department of Foreign Affairs and International Trade,Mr. Rae,Toronto Centre,1
40-2-550,40,2,550,100,2009-10-23,Afghan detainees,Mr. Dewar,Ottawa Centre,1
40-2-551,40,2,551,100,2009-10-23,Stowaways,Mr. St-Cyr,Jeanne-Le Ber,1
40-2-552,40,2,552,100,2009-10-23,Canada’s mission in Afghanistan,Mr. Dewar,Ottawa Centre,1
40-2-553,40,2,553,100,2009-10-23,Canada’s mission in Afghanistan,Mr. Dewar,Ottawa Centre,1
40-2-554,40,2,554,100,2009-10-23,Government advertising,Mr. Rodriguez,Honoré-Mercier,1
40-2-555,40,2,555,100,2009-10-23,Government advertising,Mr. Rodriguez,Honoré-Mercier,1
40-2-556,40,2,556,100,2009-10-23,Government advertising,Mr. Rodriguez,Honoré-Mercier,1
40-2-557,40,2,557,100,2009-10-23,Government advertising,Mr. Rodriguez,Honoré-Mercier,1
40-2-558,40,2,558,101,2009-10-26,Veteran’s Independence Program,Mr. Reid,Lanark—Frontenac—Lennox and Addington,1
40-2-559,40,2,559,101,2009-10-26,Sockeye salmon,Ms. Fry,Vancouver Centre,0
40-2-560,40,2,560,101,2009-10-26,Employment Insurance premiums,Ms. Fry,Vancouver Centre,0
40-2-561,40,2,561,101,2009-10-26,Mountain pine beetle,Ms. Fry,Vancouver Centre,0
40-2-562,40,2,562,101,2009-10-26,Transportation and hospitality expenses for the Chief Government Whip and Minister of State,Ms. Fry,Vancouver Centre,0
40-2-563,40,2,563,101,2009-10-26,Government advertising,Mr. McCallum,Markham—Unionville,1
40-2-564,40,2,564,101,2009-10-26,Correctional Services Canada,Mr. Holland,Ajax—Pickering,0
40-2-565,40,2,565,101,2009-10-26,Correctional Services Canada,Mr. Holland,Ajax—Pickering,0
40-2-566,40,2,566,101,2009-10-26,GRK Fasteners,Mr. Holland,Ajax—Pickering,0
40-2-567,40,2,567,101,2009-10-26,Pickering Lands,Mr. Holland,Ajax—Pickering,1
40-2-568,40,2,568,102,2009-10-27,Government advertising,Mr. Goodale,Wascana,0
40-2-569,40,2,569,102,2009-10-27,Government advertising,Mr. Goodale,Wascana,0
40-2-570,40,2,570,102,2009-10-27,Government advertising,Mr. Goodale,Wascana,1
40-2-571,40,2,571,102,2009-10-27,Government advertising,Mr. Goodale,Wascana,0
40-2-572,40,2,572,102,2009-10-27,2010 Vancouver Olympic Games,Mr. Dhaliwal,Newton—North Delta,0
40-2-573,40,2,573,102,2009-10-27,Department of Citizenship and Immigration,Mr. Dhaliwal,Newton—North Delta,0
40-2-574,40,2,574,102,2009-10-27,Sport Canada,Mr. Dhaliwal,Newton—North Delta,0
40-2-575,40,2,575,102,2009-10-27,Community Futures Program,Mr. Dhaliwal,Newton—North Delta,1
40-2-576,40,2,576,104,2009-10-29,Fisheries,Ms. Crowder,Nanaimo—Cowichan,0
40-2-577,40,2,577,104,2009-10-29,Government advertising,Mr. Murphy,Moncton—Riverview—Dieppe,1
40-2-578,40,2,578,104,2009-10-29,Government advertising,Mr. Murphy,Moncton—Riverview—Dieppe,1
40-2-579,40,2,579,104,2009-10-29,Government advertising,Mr. Murphy,Moncton—Riverview—Dieppe,1
40-2-580,40,2,580,104,2009-10-29,Listeriosis Investigative Review,Ms. Bennett,St. Paul's,0
40-2-581,40,2,581,104,2009-10-29,Trans Fat,Ms. Bennett,St. Paul's,0
40-2-582,40,2,582,104,2009-10-29,Enabling Accessibility Fund,Mr. MacAulay,Cardigan,1
40-2-583,40,2,583,105,2009-10-30,Enabling Accessibility Fund,Mr. MacAulay,Cardigan,0
40-2-584,40,2,584,106,2009-11-02,Department of Foreign Affairs and International Trade,Mr. Rae,Toronto Centre,1
40-2-585,40,2,585,106,2009-11-02,Use of government owned aircraft,Mr. Clarke,Desnethé--Missinippi--Churchill River,1
