question_uid,parliament,session,response_sitting_day,question_number,asker_name,responder_name,response_content
41-1-103,41,1,15,103,Mr. Frank Valeriote,"Hon. Gerry Ritz (Minister of Agriculture and Agri-Food and Minister for the Canadian Wheat Board, CPC)","Mr. Speaker, in response to (a), Agriculture and Agri-Food Canada, AAFC, closely monitored all operating expenses and reported on them monthly to the senior management of the department.  Budget 2010 announced two significant actions to reduce the rate of growth in operating expenditures. First, any salary and wage increases set in the Expenditure Restraint Act and in collective agreements for fiscal year 2010-11 until the end of fiscal year 2012-13 are to be absorbed by organizations.  No moneys were provided to AAFC to fund the 1.5 % increase in annual wages for the federal public administration.  AAFC is required to reallocate the resources from its operating budgets to fund these increases.  Funding that was already provided in the department’s reference levels for these increases was returned to Treasury Board Secretariat through supplementary estimates.The department has a staffing realignment board that reviews and approves all external staffing requests to ensure that people are matched to priorities within available financial resources.  Salaries are monitored monthly by each branch against established maximum salary budgets.

Second, operating budgets for fiscal year 2011-12 have been frozen at the 2010-11 levels.  A subsequent freeze of operating budgets at those same levels is anticipated for fiscal year 2012-13.To this end, additional measures were instituted that focused on travel, hospitality and conferences.  Employees have been advised of best practices related to travel in an effort to reduce the associated costs, e.g., encouraging the use of video conferencing, using the online booking tool, booking travel well in advance to take advantage of reduced rate tickets.In response to (b), 483 indeterminate employees, 462 full-time and 21 part-time, were lost to attrition at AAFC during the 2010-2011 fiscal year.

In response to (c), no employees were laid off at AAFC during the 2010-11 fiscal year.

In response to (d), 467 indeterminate employees (465 full-time and 2 part-time) were hired at AAFC during the 2010-11 fiscal year.

In response to (e), fiscal restraint and reduced hiring across the public service is expected to reduce the number of departures to other government departments.  AAFC does not forecast attrition more than two years into the future because there are a number of unknown factors that make such forecasts unreliable.
At present, the expected attrition rate is forecast to be 450 in 2011-12, 7.2% of total employees, in the  current fiscal year; 430 in 2012-2013, 6.9% of total employees; and 445 in 2013-14, 7.1% of total employees. 



Attrition is defined as the departure of employees due to retirements or resignations, transfers to other government departments, departments or other..."
41-1-104,41,1,15,104,Mr. Frank Valeriote,"Hon. Denis Lebel (Minister of Transport, Infrastructure and Communities and Minister of the Economic Development Agency of Canada for the Regions of Quebec, CPC)","Mr. Speaker,  
NAV Canada is the private sector, non-share capital corporation that owns and operates Canada’s civil air navigation service, ANS. Transport Canada has no responsibility with respect to business decisions that the company makes with respect to budget and/or staffing issues."
41-1-106,41,1,15,106,Hon. Gerry Byrne,"Hon. Denis Lebel (Minister of Transport, Infrastructure and Communities and Minister of the Economic Development Agency of Canada for the Regions of Quebec, CPC)","Mr. Speaker, in response to (a), any new route additions or other major changes to the NHS, including deletion from or movement within the three categories comprising core, feeder, and northern and remote routes, could be proposed by any jurisdiction including the federal government.  In order to evaluate these proposals, jurisdictions are required to provide supporting information and the data as per established criteria and thresholds.  The NHS task force then provides its recommendation to the council of ministers.

In addition, in 2007 ministers also agreed that a full review of the NHS be undertaken every five years to maintain its relevance due to changing economic, social and demographic conditions.  Starting in 2009, the NHS review task force engaged in a thorough review of the NHS for 2010. However, the 2010 review has yet to be brought to closure as additional work is required prior to recommendations being tabled with the council of ministers.

In response to (b), all changes to the NHS must be unanimously approved by all members of the council of ministers responsible for transportation and highway safety."
41-1-108,41,1,15,108,Hon. Denis Coderre,"Mrs. Shelly Glover (Parliamentary Secretary to the Minister of Finance, CPC)","Mr. Speaker, in response to (a), to ensure maximum efficiency for taxpayers’ dollars in the fiscal year 2010-11, as part of the government’s commitment outlined on page 161 of budget 2010, found at www.budget.gc.ca/2010/pdf/budget-planbudgetaire-eng.pdf,  salary costs were reduced due to the time it takes to re-staff positions after staff departure, and measures were also put in place to reduce goods and services costs in areas such as travel. For 2011-12 and 2012-13, the department will continue these measures and seek additional opportunities for efficiencies in departmental operations.

In response to (b), attrition is defined as the number of employee departures. For the period April 1, 2010, to March 31, 2011, 255 employees left the department, 215 full-time employees and 40 part-time employees. These employees include indeterminates, terms, seconded in, part-time workers, casuals and students. The required salary savings resulted from the period the positions were vacant before being restaffed.   

In response to (c), between April 1, 2010, and March 31, 2011, the Department of Finance did not lay off any full-time or part-time employees.In response to (d), the department hired 225 employees between April 1, 2010, and March 31, 2011, including 185 full-time employees and 40 part-time employees. These employees include indeterminates, terms, seconded in, part-time workers, casuals and students. The 2011-12 main estimates reflected a reduction in the operating budget of the department due to a number of initiatives other than the budget 2010 commitments. The departure and hiring numbers were impacted by all of these items. In response to (e), the percentage of indeterminate employees who have left the department in the last 5 years was 17.5%. These data are updated quarterly andare used for internal business planning."
41-1-109,41,1,15,109,Hon. Denis Coderre,"Hon. Peter Kent (Minister of the Environment, CPC)","Mr. Speaker, with regard to the operating budget freeze at Environment Canada, in response to (a), the key driver of the cost containment measures is the operating budget freeze that was articulated in the 2010 federal budget tabled in the House of Commons on March 4, 2010.
Two significant actions were announced in the budget to reduce growth in operating expenditures: operating budgets will be capped at the 2010-11 levels for the two fiscal years, 2011-12 and 2012-13; any wage and salary increases set in the Expenditure Restraint Act and in collective agreements applying from the beginning of 2010-11 and until the end of 2012 13 are to be absorbed by organizations. 

These measures apply to all federal organizations appropriated by Parliament including departments, agencies and crown corporations.The following items are excluded from the freeze: economic action plan spending which ends in March 2011; budget 2010 measures not included in the main estimates 2010-11; new policy initiatives approved by cabinet; non-discretionary labour costs, such as parental benefits or severance pay.

There was no government-wide freeze on hiring.
Within this context, Environment Canada has taken the following measures to limit spending for the 2010-2011 fiscal year.  Impact of budget 2010 measures for 2010-11 fiscal year have been included in 2010-11 supplementary estimates (A or B).  There are no budget 2010 measures in supplementary estimates (C);  budget 2010 measures for 2011-12 have been included in the 2011-12 main estimates.  
Travel, conferences and hospitality are within 2008-09 levels as directed by budget 2009 and are monitored by monthly reports. Efficiencies in the procurement process have been implemented. Human resources allocation has been re-evaluated and optimized.
In response to (b), the transactional data available in Environment Canada’s human resources management system,HRMS, does not provide information on whether any employees separated from the department as a result of the operating budget freeze. In the course of normal operations, however, during fiscal year 2010-11, 582 full-time employees and 1127 part-time employees left Environment Canada.

In response to (c), from April 1, 2010, to March 31, 2011, one full-time employee was laid off at Environment Canada. No part-time employees were laid off. The one layoff was a result of a lack of work due to the sudden ending of a research project, but it was not as a result of the operating budget freeze.In response to (d), from April 1, 2011, to March 31, 2011, Environment Canada hired 432 full-time employees and 1,031 part-time employees in the course of normal operations.In response to (e), in the next five years, it is estimated that Environment Canada will lose between 550 and 600 full-time employees each year to attrition for various separation reasons in the course of normal operations.  No projections are available for the attrition of part-time employees due to the transitory nature of the types of work involved."
41-1-NA,41,1,15,NA,Ms. Elizabeth May,"Hon. Denis Lebel (Minister of Transport, Infrastructure and Communities and Minister of the Economic Development Agency of Canada for the Regions of Quebec, CPC)","Mr. Speaker, in response to (a), the Montreal Port Authority appoints their chief executive officer."
41-1-124,41,1,30,124,Ms. Rathika Sitsabaiesan,"Hon. Peter Kent (Minister of the Environment, CPC)","Mr. Speaker, with regard to (a), consistent with the recent Speech from the Throne, Parks Canada will work with provincial, regional, municipal, aboriginal and community stakeholders toward the establishment of a national urban park in the Rouge Valley. As there are no conservation models in Canada that respond to the Rouge Valley’s unique requirements, a new park establishment strategy and process is currently being developed by Parks Canada.  

Parks Canada intends to pursue an aggressive park establishment schedule.  However, it would be premature and inappropriate for Parks Canada to unilaterally determine the timeline of actions to be taken. At present, there is a high priority on building relationships and providing meaningful opportunities for public consultation. This will be a vital and integral part of the negotiations and establishment process for Rouge Valley national urban park.  Parks Canada has initiated a dialogue with the Province of Ontario and other key stakeholders to reach a shared understanding for a collaborative process to create Rouge Valley national urban park.  Public consultations will be undertaken to determine priorities and objectives, and ensure broad-based public support. Lands to be included within the park boundary will have to be confirmed in collaboration with the Province of Ontario, Transport Canada and other interested parties. Only then will negotiations take place towards an agreement that will identify the key park management concepts. These park management concepts will, in turn, become part of the legislation to formally create the park. Although there is a sequence for establishing new protected areas, each situation is different and must reflect the area’s unique circumstances. A detailed work plan is being developed in collaboration with the interested parties.

With regard to (b), as with all park establishment processes, Parks Canada does not set a deadline for designation. As stated previously, timelines and circumstances vary, and provisions must be made for the meaningful and respectful involvement of all interested parties.With regard to (c), Parks Canada will allocate the necessary funding to undertake this initiative.  Consistent with other national park establishment processes across the country, Parks Canada will fund required activities such as studies, surveying and public consultation processes. However, there are no conservation models in Canada that respond to the Rouge Valley’s unique requirements; consequently, there are no comparable projects that can serve as benchmarks to assess funding requirements.  At this time, it is premature to estimate a park establishment budget. 

With regard to (d), as no comparable project exists, Rouge Valley national urban park will require a new heritage conservation instrument and an innovative management approach to respond to its unique urban context and requirements. Financial needs and allocations will be identified as this new concept becomes more fully developed. Priorities, objectives and performance indicators will be developed, guided by consultations with a broad range of stakeholders. Resources will be allocated to ensure the integrated delivery of Parks Canada’s mandate. This includes the conservation of the park’s rich natural and cultural heritage resources, opportunities for outreach and a range of visitor experience opportunities. The specific attributes of this urban context will also require consideration of mixed land uses, including the promotion of sustainable agriculture. 

With regard to (e), stakeholders that have an interest in this initiative will be consulted.  Many stakeholders are already involved or well aware of this initiative, but it is expected that more will wish to participate as the project unfolds. Stakeholders already involved or that will become involved include the Province of Ontario; aboriginal communities; Rouge Park Alliance; Toronto Region Conservation Authority, TRCA; City of Toronto; Town of Whitchurch-Stouffville; Town of Richmond Hill; City of Pickering; Town of Markham; Region of York; Region of Durham; Toronto Zoo; University of Toronto--Scarborough; Waterfront Regeneration Trust Corporation; Ontario Nature; Friends of the Rouge Watershed; Save the Rouge Valley System and the farming community.

With regard to (f), the creation of a national urban park in the Rouge Valley will create new jobs.  However, it is impossible at this point in time to specify how many. The specific number of jobs will be reflective of the park management concepts, and the priorities and objectives determined through public consultations. As is the case with other heritage places administered by Parks Canada, resources will be allocated to heritage resource protection, learning programs and visitor experience opportunities."
41-1-128,41,1,30,128,Mr. Scott Simms,"Hon. Peter Kent (Minister of the Environment, CPC)","Mr. Speaker, with regard to (a), there have been no changes to staffing levels, mandate or responsibilities of the Newfoundland and Labrador weather office since being opened in January 2007 following the spring 2006 Prime Minister’s announcement. 

With regard to (b), there are 16 meteorologists in Gander working in the weather office along, with two computer science staff supporting their information technology required for the centre. The mandate and responsibilities have remained focused on the public and marine forecast and warning programs along with the provision of 1-900 consultation services for the province."
41-1-130,41,1,30,130,Hon. Dominic LeBlanc,"Hon. Christian Paradis (Minister of Industry and Minister of State (Agriculture), CPC)","Mr. Speaker, with regard to (a), over the period from January 1, 2006, to May 31, 2011, 170 applications were approved by the Minister of Industry.

With regard to (b), over the period from January 1, 2006, to May 31, 2011, one application was disallowed by the Minister of Industry:  Alliant Techsystems, Inc.’s proposed acquisition of MacDonald, Dettwiler and Associates Ltd.

With regard to (c), under section 25 of the Investment Canada Act investors are required to submit information to the Director of Investments in order to permit the director to determine whether the investment has been implemented in 

accordance with the plans and undertakings provided in relation to the investment. An evaluation of an investor’s performance in implementing its plans and undertakings is ordinarily performed at about 18 months, and more frequently as required, after the implementation of the investment.  The Guidelines—Administrative Procedures, issued by the Minister of Industry under the act, outline the policies that apply to the monitoring of investments that have been reviewed and implemented. If the minister believes that a non-Canadian investor has failed to comply with a written undertaking, the minister may seek replacement undertakings under section 39.1 or pursue enforcement measures under sections 39 and 40. 

The act provides enforcement measures which the minister may initiate where he/she believes that an investor has not complied with its obligations under the act. Under section 39, the minister may send a demand letter to the investor requiring it to cease any contravention, remedy a default, show cause why there is no contravention of the act or, in the case of undertakings, justify non-compliance. If an investor fails to comply with a demand letter under section 39, an application may be made on behalf of the minister for an order from a superior court under section 40 of the act. The court may order any measure, including: divestiture, compliance with undertakings, a penalty of $10,000 for each day of contravention, revocation of voting rights and disposition of voting interests.With regard to (d), the act does not provide for the withdrawal of approval. The enforcement provisions in the act are described in the response to question (c) above."
41-1-127,41,1,34,127,Ms. Rathika Sitsabaiesan,"Hon. Steven Fletcher (Minister of State (Transport), CPC)","Mr. Speaker, with regard to (a), VIA systematically reviews its operations to ensure that it carries out its business in the most efficient way possible. Stations are regularly reviewed to ensure that the station personnel matches the demand at the stations. This will result in an increase in personnel at a specific station or a decrease in personnel. Currently there are no plans to close Guildwood Station.With regard to (b), there are no plans to close Guildwood Station or reduce the services available at that stop at this time.

With regard to (c), in 2010, 37,686 passengers either got on or got off at Guildwood Station, or an average of 103 passengers per day.With regard to (d), currently two full-time employees and one part-time employee work at Guildwood Station.With regard to (e), when reviewing efficiencies in the passenger rail network, VIA's objective is to eliminate activities that do not add value for customers.  VIA constantly reviews its personnel assigned to stations to ensure that the service matches demand. With regard to (f), as a crown corporation, VIA is responsible for the day-to-day operations of the company.  In its review of operating expenses, the corporation may decide to change a feature of its operations such as station stops.  VIA then brings the proposed change to the minister for approval.  No request was made by VIA to close the Guildwood station."
41-1-115,41,1,36,115,Ms. Françoise Boivin,"Hon. Diane Finley (Minister of Human Resources and Skills Development, CPC)","Mr. Speaker, with regard to (a), the June 3, 2011, budget recognized that social partners, such as businesses and charities, are working together to develop innovative ways to address local challenges such as homelessness and persistent unemployment.Recognizing that often the “best solutions to tackling these difficult problems are found locally”, the Government of Canada committed in this budget to “take steps to complement community efforts by encouraging the development of government/community partnerships, enabling communities to tackle local challenges and testing new approaches to improve performance”.Moving forward, the Government of Canada is exploring these new approaches and ways to foster more effective partnerships that would help to streamline the management of grants and contributions, reduce red tape for community organizations, support social innovation, and ensure a focus on results in addressing persistent social challenges.  Examples of how Human Resources and Skills Development Canada programs support  social partnerships include the following: In January 2011, the Prime Minister announced the creation of the Prime Minister’s Volunteer Awards to recognize the exceptional contributions of volunteers, local businesses and innovative not-for-profit organizations in improving the well-being of families and their communities.  Human Resources and Skills Development Canada is providing support to partners Volunteer Canada and Manulife Financial to create a pan-Canadian web-based volunteer matching service that links volunteers with opportunities in their communities. With regard to (b), Human Resources and Skills Development Canada is the lead on the social partnerships file. Consultations have begun within the federal government, and Human Resources and Skills Development Canada has met with officials from the Public Health Agency of Canada, Industry Canada, the Canada Revenue Agency, Treasury Board of Canada Secretariat, Finance Canada, Aboriginal Affairs and Northern Development Canada and Public Safety Canada.

Provinces, measurement experts and literacy and essential skills experts will continue to be engaged by Human Resources and Skills Development Canada to address literacy and essential skills challenges for Canadian adults.With regard to (c), various social partnership projects are planning to undertake stakeholder consultation in addition to preparing to issue calls and requests for proposals.With regard to (d), the government has not allocated money for the work of the Task Force on Social Finance."
41-1-129,41,1,40,129,Mr. Don Davies,"Hon. Vic Toews (Minister of Public Safety, CPC)","Mr Speaker, the CBSA does not collect this type of information. The CBSA is mandated to ensure the safety and security of Canada’s population by taking appropriate enforcement action against individuals who are non-compliant with the Immigration and Refugee Protection Act, including investigations, arrests, detentions and removals. In support of its mandate, the CBSA makes use of referrals from Citizenship and Immigration Canada, police, and tips from the public to investigate cases of possible non-compliance. The CBSA does not proactively monitor foreign nationals who have been authorized to work in Canada. Until such time as Canada has a system in place for exit controls, it is difficult for the CBSA to establish whether foreign nationals authorized to work in Canada have complied with all conditions imposed or have remained in Canada beyond the period of time authorized for their stay."
41-1-136,41,1,41,136,Mr. Romeo Saganash,"Mr. David Anderson (Parliamentary Secretary to the Minister of Natural Resources and for the Canadian Wheat Board, CPC)","Mr. Speaker, with regard to (a), Natural Resources Canada, NRCan, has not undertaken economic modelling of the effect of a carbon price on natural gas consumption in Canada.With regard to (b), NRCan, in its lead role on groundwater, focuses on developing and publicly disseminating information and tools that assist and support water managers in the relevant jurisdictions as they design and implement water management frameworks. The NRCan groundwater program develops novel approaches to characterize aquifers in terms of location, size and dynamics, and collaborates with partners on the assessment of key regional aquifers. These assessments and the underlying methodologies can be used to inform sustainable water policies and practices throughout the country, including in areas of potential interest for shale gas development. NRCan is not, however, directly involved in groundwater projects specifically related to use of groundwater.For further information, members may visit the program's website at http://ess.nrcan.gc.ca/gm/index_e.php.Publications are available through GEOSCAN at
http://geoscan.ess.nrcan.gc.ca/starweb/geoscan/servlet.starweb?path=geoscan/geoscan_e.web. 
With regard to (c), the Oil and Gas Policy and Regulatory Affairs Division’s annual working paper, “Canadian Crude Oil, Natural Gas and Petroleum Products: Review of 2009 & Outlook to 2030”, found at  http://www.nrcan.gc.ca/eneene/sources/crubru/revrev/index-eng.php, includes NRCan’s most recently published natural gas price and production consensus forecasts.

With regard to (d), analysts at NRCan monitor intelligence and analysis on the state of carbon capture and storage,  CCS, costs for natural gas processing. Natural gas processing facilities separate and capture CO2 from raw natural gas as part of the normal gas processing process, enabling cost-effective high-purity streams of CO2 to be available for CCS. From a cost perspective, as separation of CO2 is already part of natural gas processing operations, there are no incremental costs associated with CO2 capture. Since capture is the largest component of the total CCS cost, additional expenditures associated with CO2 compression, transport and storage result in much lower overall CCS costs for natural gas processing. 
Globally, CCS at natural gas processing has also been identified as a low-cost opportunity. For example, in the International Energy Agency's Technology Roadmaps--Carbon Capture and Storage, costs of CCS at natural gas processing facilities were cited at a range of approximately $15-$25 USD/ton CO2 avoided. In addition, the Global Carbon Capture and Storage Institute recently published costs in the same range, $19/ton CO2 avoided, with the explanation that such industrial processes already include a CO2 separation/capture process in their base operation. With regard to (e), section 92 of the Constitution Act of 1982 dictates that the provinces have ownership over the natural resources that lie within their boundaries and are responsible for the regulation of resource development. As such, NRCan does not take a formal position on changes to disclosure rules, since they do not fall under the purview of our jurisdiction. 

With regard to (f), as noted in the response to question (e), it is the provinces, not NRCan, that have jurisdictional authority over hydrocarbon resources--e.g., natural gas--contained within provincial borders. As a result, NRCan does not take a formal position on “pauses” or moratoria, other than that the department respects the decisions made by the provinces. NRCan’s role is to contribute scientific information used in making exploration, resource management and environmental protection decisions by the provinces.  

With regard to (g), while NRCan provides expertise and support to Environment Canada on climate change issues related to the oil and gas sector, including natural gas, NRCan has not considered the role of natural gas in reaching the government's greenhouse gas target.

The department has supported internal and external analyses on natural gas in vehicles, natural gas for electricity production in lieu of coal-fired generation in the North America context, and the potential to export natural gas globally."
41-1-120,41,1,42,120,Mr. Scott Simms,"Hon. James Moore (Port Moody—Westwood—Port Coquitlam, CPC)","Mr. Speaker, the 2010-11 Report on Plans and Priorities shows a reduction of up to 578.6 FTEs from 2010-11 to 2013-14 when compared with the 2011-12 Report on Plans and Priorities.The Report on Plans and Priorities is a planning document on key departmental priorities.The arts, culture, official languages and sport are and will remain a priority for the Government of Canada.Our priority continues to be to serve Canadians by ensuring that we remain efficient and cost-effective in the delivery of our programs and services."
41-1-151,41,1,43,151,Hon. John McCallum,"Hon. Denis Lebel (Minister of Transport, Infrastructure and Communities and Minister of the Economic Development Agency of Canada for the Regions of Quebec, CPC)","Mr. Speaker, as part of Canada’s economic action plan, Infrastructure Canada is responsible for delivering the  
$4 billion infrastructure stimulus fund and the $500 million top-up to the communities component of the building Canada fund. These two programs benefited from the government’s decision to extend the stimulus construction deadline from March 31, 2011, to October 31, 2011. Two additional programs not managed by Infrastructure Canada, the knowledge infrastructure program and recreational infrastructure Canada, also benefited from the extension.
Although the seventh report to Canadians was released on January 31, 2011, it was finalized ahead of this date. At the time the report was finalized, provinces, territories, municipalities, and other partners had not yet submitted, as per the conditions of the extension, their requests for extending their projects beyond the original March 31, 2011, deadline to October 31, 2011. Details are presented on page 65 of the seventh report. As such, figures on the number of projects seeking extension or the value of the federal contribution under Infrastructure Canada’s two programs were not included in the seventh report to Canadians.  This was noted on page 66 of the seventh report: “Details on the value and number of projects that will be extended into 2011-12 will be known closer to the end of 2010-11 following receipt of estimates from provinces, territories, municipalities or other partners.”"
41-1-143,41,1,44,143,Mr. Scott Simms,"Hon. Diane Finley (Minister of Human Resources and Skills Development, CPC)","Mr. Speaker, with regard to (a), the costs are as follows: salary, $1,607,417; non-salary,  $207,352. 

With regard to (b), the estimated expenditures for the EI processing unit in St. John’s are as follows: salary, $3,046,616; non-salary, $636,604.

With regard to (c), itemized costs related to the consolidation of EI processing sites are not yet available. Service Canada is working with regions to determine relocation, accommodation and other associated costs. The overall transition, including the allocation of resources, will be business-driven, aligned with Service Canada’s automation agenda.
With regard to (d), please refer to the response provided above for (c).

With regard to (e), as of September 20, 2011, Gander had 32 employees; Grand Falls-Windsor is not a designated EI processing site; St. John’s had 58 employees; Corner Brook had 12 employees; and Happy Valley-Goose Bay had 9 employees.

With regard to (f), Service Canada has made considerable progress in modernizing how EI is processed, resulting in significant savings.
Processing costs have been reduced as a result of our automation agenda by almost 30% since 2003. Current EI modernization plans will yield over 15% in further cost savings over the next three years.Specific itemized cost savings realized by consolidating all NL EI processing sites to St. John’s are not yet available. These savings will be confirmed as site-specific decisions related to workforce, accommodation and timing have been determined.With regard to (g), each of the 22 sites was chosen following a careful review in which both national and regional perspectives were taken into consideration. This is a national program, and many factors were considered, such as, among others, existing labour force, skill availability, bilingual capability, and real estate. 

	With regard to (h), no dates have been set to formally close the existing EI processing centres. The transition from 120 to 22 sites will happen gradually over the next three years. 
The overall transition will be business-driven, aligned with Service Canada’s automation agenda. 

A workforce management strategy is in effect to assist with planned personnel changes, which will include anticipated attrition, retirement, reassignments and training. 
Opportunities for transitioning into other business lines will also be available for some EI employees currently working in sites with other lines of business.

This will mean that positions in the consolidated centres will be filled as vacancies are created in the sites that will not be EI processing centres."
41-1-148,41,1,45,148,Ms. Elizabeth May,"Hon. John Baird (Minister of Foreign Affairs, CPC)","Mr. Speaker, on March 25, 2010, and on April 1, 2010, two sets of documents pertaining to Afghan detainees were tabled in the House of Commons. These documents can be accessed through the House of Commons Journals, sessional paper numbers 8530-403-3 and 8530-403-4.On June 22, 2011, as agreed to by unanimous consent, the Minister of Foreign Affairs tabled an additional 362 documents. 
 
The 362 documents tabled in the House of Commons on June 22, 2011 can be accessed through the Government of Canada’s website on Afghanistan at the following address: 
http://www.afghanistan.gc.ca/canada-afghanistan/documents/362.aspx?lang=eng.
Parliamentarians also have direct access to the June 22, 2011, documents through the Journals in the House of Commons, which can be referenced through sessional paper number 8530-411-3.The tabling brought to a close a $12 million, 12-month process that reinforced what the government has said all along."
41-1-157,41,1,45,157,Mr. Claude Patry,"Hon. Diane Finley (Minister of Human Resources and Skills Development, CPC)","Mr. Speaker, there were approximately 6,700 guaranteed income supplement, GIS, recipients in 2010, and 6,800 in 2011, in the riding of Jonquière-Alma. 

There were approximately 7,000 GIS recipients in 2010 and 7,200 GIS recipients in 2011 in the riding of Chicoutimi-Le Fjord. GIS recipients are not available by municipality ."
41-1-173,41,1,49,173,Mr. Jean-François Fortin,"Hon. Vic Toews (Minister of Public Safety, CPC)","Mr. Speaker, the Government of Canada recognizes the value and contribution of proactive mitigation measures taken before an emergency or disaster occurs to eliminate or reduce the impacts and risks of hazards in order to protect lives, property, the environment, and reduce economic disruption.  Not only does mitigation serve to reduce the impact of disasters on the lives of Canadians, but it is also a 
cost-effective approach for reducing the economic burden of disaster response and recovery costs on all levels of government, businesses, communities, families and individuals.
On June 6, 2011, while visiting the Quebec region of Montérégie to see first-hand the impact of the 2011 spring floods, the Prime Minister announced that the Government of Canada will share on a 50-50 basis the costs of any permanent flood mitigation measures taken specifically for this year’s flooding that are not otherwise eligible under the federal disaster financial assistance arrangements.Public Safety, the lead federal department for meeting this commitment, has been working with other government departments and the Province of Quebec to establish a one-time mitigation contribution program to cost share eligible permanent flood mitigation measures.  Input is being sought from the 


Province of Quebec on the types of measures put in place and their costs to inform the development of the program terms and conditions, including the specific eligibility criteria for cost sharing.
The principles enshrined in “An Emergency Management Framework for Canada”, the national framework, second   edition,  approved by federal-provincial-territorial, FPT, ministers responsible for emergency management in January 2011, and in the national disaster mitigation strategy, endorsed by FPT ministers in January 2008, are being used to inform the development of this one-time mitigation contribution program.  As outlined in these key FPT documents, mitigation is an important part of a robust emergency management framework.  Disaster prevention and mitigation measures are those that eliminate or reduce the impacts and risks of hazards through proactive measures taken before an emergency or disaster occurs.  Measures may be structural, for example,   flood dikes,  or non-structural, for example,   land use zoning and building codes.Public Safety is seeking detailed estimates from the Province of Quebec on the costs of the permanent mitigation measures put in place for this year’s flooding in order to recommend a funding amount to establish a one-time mitigation contribution program, which would allow reimbursement of eligible incurred costs. 

Once the program is established, the Government of Canada will share on a 50-50 basis the costs of eligible permanent flood mitigation measures put in place by the Province of Quebec.  The exact amount that the Government of Canada will reimburse will depend on the costs of the eligible provincial measures put in place.  Until a formal claim has been submitted by the Province under the program, it is not possible to estimate how much the Government of Canada will spend.Public Safety is working closely with the Ministère de la Sécurité publique of Quebec as the program is being developed and will continue to do so as we move forward.  The goal is to have the program established in early 2012.  Once in place, Public Safety will share the detailed eligibility criteria with the province and work with it to facilitate the processing of its cost-sharing claim so that funds can flow in as timely a manner as possible."
41-1-164,41,1,50,164,Hon. John McKay,"Hon. Peter MacKay (Minister of National Defence, CPC)","Mr. Speaker, with regard to (a), retirement of the CF-18 fleet will be coordinated with the acceptance schedule of F-35 Lightning II fighter aircraft.  The Department of National Defence and the Canadian Forces forecast that the number of CF-18s in service will reduce gradually in the early years of the acquisition of the F-35, and then reduce more quickly as the F-35 fleet comes online. The Canadian Forces undertook an in-depth planning process to ensure that there would be no operational gap for our fighter aircraft fleet. The current delivery plan is based on a cost-effective point in the F-35 production schedule, balanced against the Royal Canadian Air Force’s ability to absorb the F-35 and the anticipated life expectancy of the CF-18.With regard to (b), to be clear, the CF-18 incremental modernization project, IMP, did not extend the structural life of the aircraft. This project was limited to addressing the obsolescence of avionics and armament systems that were no longer operationally relevant and were increasingly expensive to maintain.  There has been a separate multi-year project to increase the fatigue life of the aircraft by developing repair schemes for cracks and by strengthening the structure in key areas. The amount of repair work to be completed under this project will be assessed and managed as necessary to ensure that there are sufficient CF-18s available during the transition to the F-35. With regard to (c)(i), initial operating capability is currently forecast to be 2020.With regard to (c)(ii), full operational capability is currently forecast to be 2025.

The definition of initial operational capability, IOC, is associated with attaining a certain specific operational capability. In the case of the F-35 Joint Strike Fighter, the declaration of initial operating capability is based on the RCAF receiving a certain minimum number of aircraft to employ operationally, as well as adequately trained operators and maintainers. In general, full operational capability will be reached once the project has delivered and put into place the full fleet of F-35 Joint Strike Fighter aircraft, trained personnel, infrastructure, equipment and support elements to meet the Canadian Forces’ mandated capabilities.With regard to (d), the CF-18 incremental modernization project and the CF-18 structural life extension process have provided a measure of robustness and flexibility to react to short-term delays in the achievement of F-35 initial operational capability.  As stated above, retirement of the CF-18 fleet will be coordinated with the acceptance schedule of F-35 Lightning II fighter aircraft."
41-1-174,41,1,50,174,Mr. Scott Andrews,"Hon. Steven Fletcher (Minister of State (Transport), CPC)","Mr. Speaker, with regard to (a) and (b),
	the MV Caribou was sold to Comrie Ltd. of St. Vincent and the Grenadines for $3,875,000 in 	Canadian dollars.
The MV Joseph and Clara Smallwood was sold to Merrion Navigation S.A. of the Marshall Islands for $3,800,000 in Canadian dollars.With regard to (c), the ship broker was ICAP Shipping based out of London, England.

	With regard to (d), Marine Atlantic disposed of the vessels in accordance with all appropriate and accepted procurement practices applicable to Canadian crown corporations. The corporation issued a request for proposals, RFP, to ensure an open bidding process to select a broker. The RFP was posted on MERX, a leading electronic tendering service used by the Government of Canada. While no Canadian brokerage firms were directly contacted by Marine Atlantic, the tendering process allowed for any Canadian brokerage firm to submit a bid through MERX. No Canadian firms submitted a bid.

While it was publicly known for several months that Marine Atlantic was attempting to sell the vessels, no Canadian brokerage firm approached the corporation before the issuance of the RFP or in response to the RFP. One Canadian broker did contact Marine Atlantic after the selected brokerage firm had been awarded the contract.With regard to (e), ICAP received 1% of the gross sale price: $38,750 in Canadian dollars for the MV Caribou and $38,000 in Canadian dollars for the MV Joseph and Clara Smallwood."
